vege_name,state,unit,date,max_price,average_price,min_price
Indonesia round cabbage,"KUANTAN, PAHANG",KILOGRAM,9/6/2022,0,0,0
Indonesia round cabbage,"SEBERANG PERAI TENGAH, PULAU PINANG",KILOGRAM,9/6/2022,5,4.75,4.5
Indonesia round cabbage,"KINTA, PERAK",KILOGRAM,9/6/2022,0,0,0
Indonesia round cabbage,"PERLIS, PERLIS",KILOGRAM,9/6/2022,0,0,0
Indonesia round cabbage,"GOMBAK, SELANGOR",KILOGRAM,9/6/2022,3,3,3
Indonesia round cabbage,"KLANG, SELANGOR",KILOGRAM,9/6/2022,0,0,0
Indonesia round cabbage,"PETALING, SELANGOR",KILOGRAM,9/6/2022,0,0,0
Indonesia round cabbage,"KUALA TERENGGANU, TERENGGANU",KILOGRAM,9/6/2022,0,0,0
Indonesia round cabbage,"KOTA KINABALU, SABAH",KILOGRAM,9/6/2022,0,0,0
Indonesia round cabbage,"KUCHING, SARAWAK",KILOGRAM,9/6/2022,0,0,0
Indonesia round cabbage,"SIBU, SARAWAK",KILOGRAM,9/6/2022,0,0,0
Indonesia round cabbage,"MIRI, SARAWAK",KILOGRAM,9/6/2022,0,0,0
Indonesia round cabbage,"KUALA LUMPUR, W.P. KUALA LUMPUR",KILOGRAM,9/6/2022,0,0,0
Indonesia round cabbage,"LABUAN, W.P. LABUAN",KILOGRAM,9/6/2022,0,0,0
Highland round cabbage,"JOHOR BAHRU, JOHOR",KILOGRAM,9/6/2022,6,5.5,5
Highland round cabbage,"KOTA SETAR, KEDAH",KILOGRAM,9/6/2022,5,4.5,4.5
Highland round cabbage,"KOTA BHARU, KELANTAN",KILOGRAM,9/6/2022,5.5,5,5
Highland round cabbage,"MELAKA TENGAH, MELAKA",KILOGRAM,9/6/2022,5,4.5,4.5
Highland round cabbage,"SEREMBAN, NEGERI SEMBILAN",KILOGRAM,9/6/2022,6,5.75,5.5
Highland round cabbage,"KUANTAN, PAHANG",KILOGRAM,9/6/2022,5,5,5
Highland round cabbage,"SEBERANG PERAI TENGAH, PULAU PINANG",KILOGRAM,9/6/2022,7,6.5,6
